sample,led440,led480,led540,led590,led625,source,medium,year,uncorrected F from phytoPAM,,,,
syleo,100,30,129,1000,673,Default,unknown,Default,0.1,0.03,0.129,1,0.673
chlorella,1000,705,191,513,292,Default,unknown,Default,1,0.705,0.191,0.513,0.292
phaeo,1000,611,428,326,183,Default,unknown,Default,1,0.611,0.428,0.326,0.183
crypto,507,378,481,1000,213,Default,unknown,Default,0.507,0.378,0.481,1,0.213
synechoccus,188,62,369,1000,963,non-Default,unknown,non-Default,0.188,0.062,0.369,1,0.963
synnechoccus_leopoliensis,91,33,149,1000,844,non-Default,unknown,non-Default,0.091,0.033,0.149,1,0.844
cyano-8me2,36,30,564,1000,28,non-Default,hm,non-Default,0.036,0.03,0.564,1,0.028
pcc7376_old,11,12,1000,975,12,non-Default,asnIII,non-Default,0.011,0.012,1,0.975,0.012
pcc7938_old,250,106,169,1000,667,non-Default,bg11o,non-Default,0.25,0.106,0.169,1,0.667
pcc9806_old,250,158,211,1000,631,non-Default,bg11o,non-Default,0.25,0.158,0.211,1,0.631
pcc7806_old,202,152,213,1000,607,non-Default,bg11o,non-Default,0.202,0.152,0.213,1,0.607
pcc9807_old,203,150,218,1000,605,non-Default,bg11o,non-Default,0.203,0.15,0.218,1,0.605
planktothrix,133,165,820,1000,423,non-Default,asnIII,non-Default,0.133,0.165,0.82,1,0.423
niva_cya34a,143,105,214,1000,582,non-Default,lake_water,non-Default,0.143,0.105,0.214,1,0.582
niva_cya34b,167,122,223,1000,593,non-Default,lake_water,non-Default,0.167,0.122,0.223,1,0.593
pcc9806_lw,177,122,201,1000,619,non-Default,lake_water,non-Default,0.177,0.122,0.201,1,0.619
niva_cya540,692,524,772,1000,483,non-Default,lake_water,non-Default,0.692,0.524,0.772,1,0.483
pcc7938_lw,245,170,225,1000,649,non-Default,lake_water,non-Default,0.245,0.17,0.225,1,0.649
niva_cya34_april,130,99,215,1000,575,non-Default,z8,non-Default,0.13,0.099,0.215,1,0.575
niva_cya34b_z8,238,222,282,1000,609,non-Default,z8,non-Default,0.238,0.222,0.282,1,0.609
niva_cya540_z8,295,259,925,1000,398,non-Default,z8,non-Default,0.295,0.259,0.925,1,0.398
pcc9806_bg11,242,216,263,1000,624,non-Default,bg11o,non-Default,0.242,0.216,0.263,1,0.624
pcc7938_august,406,180,222,1000,655,non-Default,bg11o,non-Default,0.406,0.18,0.222,1,0.655
pcc7376_asn,229,276,1000,891,256,non-Default,asnIII,non-Default,0.229,0.276,1,0.891,0.256
9-21170001-2019,527,278.6666667,265,1057.333333,743.6666667,samples,,2019,,,,,
9-21170002-2019,510.6666667,286.6666667,347.3333333,1373,899,samples,,2019,,,,,
10-21940001-2019,695.4466019,402.368932,323.4368932,1050.718447,660.4757282,samples,,2019,,,,,
10-21130002-2019,234.6666667,127.5,201,1004.5,576.5,samples,,2019,,,,,
10-21130001-2019,1002.333333,605.3333333,339.3333333,1241.666667,827.3333333,samples,,2019,,,,,
10-21810002-2019,877.3333333,496.6666667,425.3333333,1446,970.6666667,samples,,2019,,,,,
10-21810001-2019,1153,684.3333333,568.3333333,1519.666667,933.6666667,samples,,2019,,,,,
10-21500001-2019,1337.333333,876,537,1126,743.6666667,samples,,2019,,,,,
10-21420001-2019,168,66.33333333,213.3333333,1305.333333,765,samples,,2019,,,,,
10-21350001-2019,151,68.33333333,180,1017.666667,629,samples,,2019,,,,,
10-21170001-2019,422.3333333,224,284.3333333,1189.333333,762.6666667,samples,,2019,,,,,
10-21170002-2019,835,493.6666667,361.6666667,920.3333333,497.6666667,samples,,2019,,,,,
11-21940001-2019,835,493.6666667,361.6666667,920.3333333,497.6666667,samples,,2019,,,,,
11-21130002-2019,398.3333333,214.3333333,267,1369.333333,951,samples,,2019,,,,,
11-21130001-2019,413,234,252.6666667,1189.666667,842.3333333,samples,,2019,,,,,
11-21810002-2019,762.3333333,436.6666667,342,1125.666667,773.6666667,samples,,2019,,,,,
11-21810001-2019,1208,720.6666667,536.3333333,1389,921,samples,,2019,,,,,
11-21500001-2019,1350,907,528,1270,856.6666667,samples,,2019,,,,,
11-21420001-2019,180.3333333,71.66666667,188.6666667,1142.666667,679.3333333,samples,,2019,,,,,
11-21350001-2019,214.3333333,91.66666667,213.1666667,1101.166667,673.3333333,samples,,2019,,,,,
11-21170002-2019,539.3333333,295.3333333,379.3333333,1492.333333,954.3333333,samples,,2019,,,,,
12-21940001-2019,690,420.6666667,312.3333333,717.3333333,361,samples,,2019,,,,,
12-21130002-2019,306.6666667,156,241,1312.666667,925.6666667,samples,,2019,,,,,
12-21130001-2019,293.3333333,150.3333333,203.3333333,1049.666667,765,samples,,2019,,,,,
12-21810002-2019,888,504,382.6666667,1187.333333,823.6666667,samples,,2019,,,,,
12-21810001-2019,1177,697.6666667,533.6666667,1357.333333,901.3333333,samples,,2019,,,,,
12-21500001-2019,904.6666667,539.6666667,371,1198,850.3333333,samples,,2019,,,,,
